source_file,store_hint,line_no,item_text,quantity,unit,unit_price,line_total,currency,parser_confidence,raw_line,warning
AH foto 2.jpeg,albert_heijn,6,4 AMM GEHAKT,,,,6.99,EUR,0.78,"4 AMM GEHAKT 6,99 |",
AH foto 2.jpeg,albert_heijn,7,i od SOEPGR BASIS,,,,1.29,EUR,0.78,"i od SOEPGR BASIS 1,29 !",
AH foto 2.jpeg,albert_heijn,10,JoUW VOORDEEL,,,,0.00,EUR,0.78," JoUW VOORDEEL 0,00",
AH foto 2.jpeg,albert_heijn,12,BONUS BOX,,,,0.00,EUR,0.58,"BONUS BOX 0,00",discount_or_loyalty_line
AH foto 2.jpeg,albert_heijn,26,"OY \ 7,60",,,,0.68,EUR,0.62,"OY \ 7,60 0,68 ,",multiple_amounts_detected
Aldi foto 1.jpg,aldi,3,OPENINGSTIJDEN: MA TM ZAT 08.00,,,,20.00,EUR,0.62,OPENINGSTIJDEN: MA TM ZAT 08.00-20.00,multiple_amounts_detected
Aldi foto 1.jpg,aldi,4,"ZON 10,00~",,,,18.00,EUR,0.45,"ZON 10,00~18.00",multiple_amounts_detected;ocr_noise
Aldi foto 1.jpg,aldi,5,"GOUDSE KAAS 48i} GESN, JONG",,,,2.39,EUR,0.45,"GOUDSE KAAS 48i} GESN, JONG 2,39",ocr_noise
Aldi foto 1.jpg,aldi,6,WADDENBOLLEN ;,,,,1.50,EUR,0.78,"WADDENBOLLEN ; 1,50",
Aldi foto 1.jpg,aldi,7,CHOCOPOPS / CHOCO SHELLS. °,,,,1.41,EUR,0.78,"CHOCOPOPS / CHOCO SHELLS. ° 1,41",
Aldi foto 1.jpg,aldi,8,7-GRANEN ONTBIJT ~,,,,1.25,EUR,0.45,"7-GRANEN ONTBIJT ~ . 1,25",ocr_noise
Aldi foto 1.jpg,aldi,9,BEDRAG EURO,,,,6.55,EUR,0.78,"BEDRAG EURO 6,55",
Aldi foto 1.jpg,aldi,29,"B 9,00% 6,01 0,54",,,,6.55,EUR,0.62,"B 9,00% 6,01 0,54 6,55",multiple_amounts_detected
Aldi foto 1.jpg,aldi,35,04(3)038 3235 & 08:28,,,,26.09,EUR,0.78,04(3)038 3235 & 08:28 26.09.2022,
Aldi foto 2.jpg,aldi,4,UPENINGSTIJUDEN: WA-VR 8.00,,,,21.59,EUR,0.62,UPENINGSTIJUDEN: WA-VR 8.00-21.59 UYR,multiple_amounts_detected
Aldi foto 2.jpg,aldi,5,ZA 8.00,,,,20.00,EUR,0.62,| ZA 8.00-20.00 wip,multiple_amounts_detected
Aldi foto 2.jpg,aldi,6,; 10. —-:12.00,,,,18.00,EUR,0.62,; 10. —-:12.00-18.00 UUs -,multiple_amounts_detected
Aldi foto 2.jpg,aldi,7,MELKCHOCOLADE,,,,2.56,EUR,0.78,"MELKCHOCOLADE 2,56",
Aldi foto 2.jpg,aldi,8,EAPDAPPELSCHIUFJE Seek,,,,1.22,EUR,0.78,"EAPDAPPELSCHIUFJE Seek . 1,22.",
Aldi foto 2.jpg,aldi,9,a alee SPEK-UL,,,,1.22,EUR,0.78,"a alee SPEK-UL- 1,22",
Aldi foto 2.jpg,aldi,10,SUB TOTA,,,,9.00,EUR,0.78,"SUB TOTA | 9,00 \",
Aldi foto 2.jpg,aldi,11,SCDRAG = EURO \,,,,9.00,EUR,0.78,"SCDRAG = EURO \ 9,00 *",
Aldi foto 2.jpg,aldi,12,CONTANT ~  \ =,,,,5.00,EUR,0.45,"CONTANT ~  \ = 5,00",ocr_noise
Aldi foto 2.jpg,aldi,14,"B 9,008 4,59 \, Q4}",,,,5.00,EUR,0.45,"B 9,008 4,59 \, Q4} 5,00 |",multiple_amounts_detected;ocr_noise
Aldi foto 2.jpg,aldi,20,13(48057 68%9 } 15:21,,,,23.02,EUR,0.45,13(48057 68%9 } 15:21 23.02.2019,ocr_noise
Jumbo App 1.png,jumbo,7,Jumbo Passata Rust,,,,1.99,EUR,0.78,"Jumbo Passata Rust. 1,99",
Jumbo App 1.png,jumbo,9,"2X 5,69",2,stuk,5.69,11.38,EUR,0.62,"2X 5,69 11,38",multiple_amounts_detected
Jumbo App 1.png,jumbo,11,"2X1,50",2,stuk,1.50,3.00,EUR,0.62,"2X1,50 3,00",multiple_amounts_detected
Jumbo App 1.png,jumbo,12,Jumbo Kroep Cassave,,,,1.09,EUR,0.78,"Jumbo Kroep Cassave 1,09",
Jumbo App 1.png,jumbo,13,Chorizo Ring,,,,3.81,EUR,0.78,"Chorizo Ring 3,81",
Jumbo App 1.png,jumbo,15,"3X 1,00",3,stuk,1.00,3.00,EUR,0.62,"3X 1,00 3,00",multiple_amounts_detected
Jumbo App 1.png,jumbo,16,Halfvolle Melk 1.0 L P,,,,0.87,EUR,0.78,"Halfvolle Melk 1.0 L P 0,87",
Jumbo App 1.png,jumbo,17,Jumbo Paprikamix,,,,2.29,EUR,0.78,"Jumbo Paprikamix 2,29",
Jumbo App 1.png,jumbo,18,Hartig Itali.Kruide,,,,1.99,EUR,0.78,"Hartig Itali.Kruide 1,99",
Jumbo App 1.png,jumbo,19,Jumbo Rooibos Mango,,,,1.05,EUR,0.78,"Jumbo Rooibos Mango 1,05",
Jumbo App 1.png,jumbo,20,Lemondor Limoensap,,,,0.99,EUR,0.78,"Lemondor Limoensap 0,99",
Jumbo App 1.png,jumbo,21,Komkommer,,,,0.89,EUR,0.78,"Komkommer 0,89",
Jumbo App 1.png,jumbo,22,Lassie Paella Rijst,,,,2.59,EUR,0.78,"Lassie Paella Rijst 2,59",
Jumbo App 1.png,jumbo,23,Broccoli,,,,0.88,EUR,0.78,"Broccoli 0,88",
Jumbo App 1.png,jumbo,24,Espresso D Oro,,,,15.99,EUR,0.78,"Espresso D Oro 15,99",
Jumbo App 1.png,jumbo,26,"51X0,10",51,stuk,0.10,5.10,EUR,0.62,"51X0,10 5,10",multiple_amounts_detected
Jumbo App 1.png,jumbo,28,Totaal korting,,,,0.00,EUR,0.58,"Totaal korting € 0,00",discount_or_loyalty_line
Jumbo App 1.png,jumbo,37,"0,00% €5,10",,,,0.00,EUR,0.62,"0,00% €5,10 €0,00",multiple_amounts_detected
Jumbo App 1.png,jumbo,38,"9,00% € 47,53",,,,4.28,EUR,0.62,"9,00% € 47,53 €4,28",multiple_amounts_detected
Jumbo foto 1.jpeg,jumbo,12,"2 X 4,99",2,stuk,4.99,9.98,EUR,0.62,"2 X 4,99 9,98",multiple_amounts_detected
Jumbo foto 1.jpeg,jumbo,13,ACTIE KIP ~,,,,2.48,EUR,0.45,"ACTIE KIP ~2,48",discount_or_loyalty_line;ocr_noise
Jumbo foto 1.jpeg,jumbo,14,KASTANJE CHAMPIG VD,,,,2.79,EUR,0.78,"KASTANJE CHAMPIG VD 2,79",
Jumbo foto 1.jpeg,jumbo,15,BIO RODE BIET VACUM,,,,1.45,EUR,0.78,"BIO RODE BIET VACUM 1,45",
Jumbo foto 1.jpeg,jumbo,16,COURGETTE,,,,0.69,EUR,0.78,"COURGETTE 0,69",
Jumbo foto 1.jpeg,jumbo,17,JUMBO RISOTTO ARBORI,,,,1.75,EUR,0.78,"JUMBO RISOTTO ARBORI 1,75",
Jumbo foto 1.jpeg,jumbo,18,VP ASPERGESOEP,,,,6.49,EUR,0.78,"VP ASPERGESOEP 6,49",
Jumbo foto 1.jpeg,jumbo,19,REMIA MOSTERDSAUS,,,,2.15,EUR,0.78,"REMIA MOSTERDSAUS 2,15",
Jumbo foto 1.jpeg,jumbo,22,VPAY a,,,,22.82,EUR,0.78,"VPAY a 22,82",
Jumbo foto 1.jpeg,jumbo,23,Totaal korting: ~,,,,2.48,EUR,0.45,"Totaal korting: ~2,48",discount_or_loyalty_line;ocr_noise
Jumbo foto 1.jpeg,jumbo,52,"9 00% 20,94",,,,1.88,EUR,0.62,"9 00% 20,94 1,88 <",multiple_amounts_detected
Lidl App 1.png,lidl,5,Jonge bladsla,,,,1.39,EUR,0.78,"Jonge bladsla 1,39 B",
Lidl App 1.png,lidl,6,Lidl Plus korting,,,,-0.40,EUR,0.58,"Lidl Plus korting -0,40",discount_or_loyalty_line
Lidl App 1.png,lidl,7,Jonge bladsla,,,,1.39,EUR,0.78,"Jonge bladsla 1,39 B",
Lidl App 1.png,lidl,8,Lidl Plus korting,,,,-0.40,EUR,0.58,"Lidl Plus korting -0,40",discount_or_loyalty_line
Lidl App 1.png,lidl,9,Veldsla,,,,1.19,EUR,0.78,"Veldsla 1,19 B",
Lidl App 1.png,lidl,10,Spekreepjes,,,,3.25,EUR,0.78,"Spekreepjes 3,25 B",
Lidl App 1.png,lidl,11,Gebronsde pasta Linguin,,,,1.69,EUR,0.78,"Gebronsde pasta Linguin 1,69 B",
Lidl App 1.png,lidl,12,Mozzarella geraspt,,,,2.99,EUR,0.78,"Mozzarella geraspt 2,99 B",
Lidl App 1.png,lidl,13,Runderchipolata,,,,4.79,EUR,0.78,"Runderchipolata 4,79 B",
Lidl App 1.png,lidl,14,Rundersaucijzen,,,,4.99,EUR,0.78,"Rundersaucijzen 4,99 B",
Lidl App 1.png,lidl,15,Geraspte kaas,,,,2.99,EUR,0.78,"Geraspte kaas 2,99 B",
Lidl App 1.png,lidl,16,Kipdijfilet blokjes,,,,3.49,EUR,0.78,"Kipdijfilet blokjes 3,49 B",
Lidl App 1.png,lidl,17,Maaltijdsauzen SK7,,,,1.79,EUR,0.78,"Maaltijdsauzen SK7 1,79 B",
Lidl App 1.png,lidl,18,"Tomatenpuree gecon. 3 xX 0,59",,,,1.77,EUR,0.62,"Tomatenpuree gecon. 3 xX 0,59 1,77 B",multiple_amounts_detected
Lidl App 1.png,lidl,19,Italiaanse rasp kaas,,,,2.89,EUR,0.78,"Italiaanse rasp kaas 2,89 B",
Lidl App 1.png,lidl,20,Lasagnebladen 500g,,,,1.69,EUR,0.78,"Lasagnebladen 500g 1,69 B",
Lidl App 1.png,lidl,21,Tomatens. met basil,,,,1.89,EUR,0.78,"Tomatens. met basil. 1,89 B",
Lidl App 1.png,lidl,22,Peterselie bos,,,,1.49,EUR,0.78,"Peterselie bos 1,49 B",
Lidl App 1.png,lidl,23,Winterpeen,,,,0.29,EUR,0.78,"Winterpeen 0,29. B",
Lidl App 1.png,lidl,24,"Courgette groen 2 x 0,79",2,stuk,0.79,1.58,EUR,0.62,"Courgette groen 2 x 0,79 1,58 B",multiple_amounts_detected
Lidl App 1.png,lidl,37,Totaal prijsvoordeel,,,,0.80,EUR,0.58,"Totaal prijsvoordeel 0,80",discount_or_loyalty_line
Lidl App 1.png,lidl,39,"B 9 37,39 3,36",,,,40.75,EUR,0.62,"B 9 37,39 3,36 40,75",multiple_amounts_detected
Lidl App 1.png,lidl,40,0381 094716/85,,,,16.12,EUR,0.78,0381 094716/85 16.12.25,
Lidl App 2.png,lidl,5,Aardappel zoet,,,,3.24,EUR,0.78,"Aardappel zoet 3,24 B",
Lidl App 2.png,lidl,6,"1,224 kg x",1.224,kg,2.65,2.65,EUR,0.78,"1,224 kg x 2,65 EUR",
Lidl App 2.png,lidl,7,Lidl Plus korting,,,,-1.17,EUR,0.58,"Lidl Plus korting -1,17",discount_or_loyalty_line
Lidl App 2.png,lidl,8,Tortilla chips XXL,,,,1.29,EUR,0.78,"Tortilla chips XXL 1,29 B",
