source_file,store_hint,line_no,item_text,quantity,unit,unit_price,line_total,currency,parser_confidence,raw_line,warning
Jumbo App 1.png,jumbo,7,Jumbo Passata Rust,,,,1.99,EUR,0.78,"Jumbo Passata Rust. 1,99",
Jumbo App 1.png,jumbo,9,"2X 5,69",2,stuk,5.69,11.38,EUR,0.62,"2X 5,69 11,38",multiple_amounts_detected
Jumbo App 1.png,jumbo,11,"2X1,50",2,stuk,1.50,3.00,EUR,0.62,"2X1,50 3,00",multiple_amounts_detected
Jumbo App 1.png,jumbo,12,Jumbo Kroep Cassave,,,,1.09,EUR,0.78,"Jumbo Kroep Cassave 1,09",
Jumbo App 1.png,jumbo,13,Chorizo Ring,,,,3.81,EUR,0.78,"Chorizo Ring 3,81",
Jumbo App 1.png,jumbo,15,"3X 1,00",3,stuk,1.00,3.00,EUR,0.62,"3X 1,00 3,00",multiple_amounts_detected
Jumbo App 1.png,jumbo,16,Halfvolle Melk 1.0 L P,,,,0.87,EUR,0.78,"Halfvolle Melk 1.0 L P 0,87",
Jumbo App 1.png,jumbo,17,Jumbo Paprikamix,,,,2.29,EUR,0.78,"Jumbo Paprikamix 2,29",
Jumbo App 1.png,jumbo,18,Hartig Itali.Kruide,,,,1.99,EUR,0.78,"Hartig Itali.Kruide 1,99",
Jumbo App 1.png,jumbo,19,Jumbo Rooibos Mango,,,,1.05,EUR,0.78,"Jumbo Rooibos Mango 1,05",
Jumbo App 1.png,jumbo,20,Lemondor Limoensap,,,,0.99,EUR,0.78,"Lemondor Limoensap 0,99",
Jumbo App 1.png,jumbo,21,Komkommer,,,,0.89,EUR,0.78,"Komkommer 0,89",
Jumbo App 1.png,jumbo,22,Lassie Paella Rijst,,,,2.59,EUR,0.78,"Lassie Paella Rijst 2,59",
Jumbo App 1.png,jumbo,23,Broccoli,,,,0.88,EUR,0.78,"Broccoli 0,88",
Jumbo App 1.png,jumbo,24,Espresso D Oro,,,,15.99,EUR,0.78,"Espresso D Oro 15,99",
Jumbo App 1.png,jumbo,26,"51X0,10",51,stuk,0.10,5.10,EUR,0.62,"51X0,10 5,10",multiple_amounts_detected
Jumbo App 1.png,jumbo,28,Totaal korting,,,,0.00,EUR,0.58,"Totaal korting € 0,00",discount_or_loyalty_line
Jumbo App 1.png,jumbo,37,"0,00% €5,10",,,,0.00,EUR,0.62,"0,00% €5,10 €0,00",multiple_amounts_detected
Jumbo App 1.png,jumbo,38,"9,00% € 47,53",,,,4.28,EUR,0.62,"9,00% € 47,53 €4,28",multiple_amounts_detected
