source_file,store_hint,line_no,item_text,quantity,unit,unit_price,line_total,currency,parser_confidence,raw_line,warning
Jumbo foto 1.jpeg,jumbo,12,"2 X 4,99",2,stuk,4.99,9.98,EUR,0.62,"2 X 4,99 9,98",multiple_amounts_detected
Jumbo foto 1.jpeg,jumbo,13,ACTIE KIP ~,,,,2.48,EUR,0.45,"ACTIE KIP ~2,48",discount_or_loyalty_line;ocr_noise
Jumbo foto 1.jpeg,jumbo,14,KASTANJE CHAMPIG VD,,,,2.79,EUR,0.78,"KASTANJE CHAMPIG VD 2,79",
Jumbo foto 1.jpeg,jumbo,15,BIO RODE BIET VACUM,,,,1.45,EUR,0.78,"BIO RODE BIET VACUM 1,45",
Jumbo foto 1.jpeg,jumbo,16,COURGETTE,,,,0.69,EUR,0.78,"COURGETTE 0,69",
Jumbo foto 1.jpeg,jumbo,17,JUMBO RISOTTO ARBORI,,,,1.75,EUR,0.78,"JUMBO RISOTTO ARBORI 1,75",
Jumbo foto 1.jpeg,jumbo,18,VP ASPERGESOEP,,,,6.49,EUR,0.78,"VP ASPERGESOEP 6,49",
Jumbo foto 1.jpeg,jumbo,19,REMIA MOSTERDSAUS,,,,2.15,EUR,0.78,"REMIA MOSTERDSAUS 2,15",
Jumbo foto 1.jpeg,jumbo,22,VPAY a,,,,22.82,EUR,0.78,"VPAY a 22,82",
Jumbo foto 1.jpeg,jumbo,23,Totaal korting: ~,,,,2.48,EUR,0.45,"Totaal korting: ~2,48",discount_or_loyalty_line;ocr_noise
Jumbo foto 1.jpeg,jumbo,52,"9 00% 20,94",,,,1.88,EUR,0.62,"9 00% 20,94 1,88 <",multiple_amounts_detected
