source_file,store_hint,line_no,item_text,quantity,unit,unit_price,line_total,currency,parser_confidence,raw_line,warning
Lidl App 2.png,lidl,5,Aardappel zoet,,,,3.24,EUR,0.78,"Aardappel zoet 3,24 B",
Lidl App 2.png,lidl,6,"1,224 kg x",1.224,kg,2.65,2.65,EUR,0.78,"1,224 kg x 2,65 EUR",
Lidl App 2.png,lidl,7,Lidl Plus korting,,,,-1.17,EUR,0.58,"Lidl Plus korting -1,17",discount_or_loyalty_line
Lidl App 2.png,lidl,8,Tortilla chips XXL,,,,1.29,EUR,0.78,"Tortilla chips XXL 1,29 B",
Lidl App 2.png,lidl,9,Knorr CaS Ch. tomaat,,,,0.89,EUR,0.78,"Knorr CaS Ch. tomaat 0,89 B",
Lidl App 2.png,lidl,10,Knorr CaS kip,,,,0.89,EUR,0.78,"Knorr CaS kip 0,89 B",
Lidl App 2.png,lidl,11,Mexicaanse kruiden,,,,1.49,EUR,0.78,"Mexicaanse kruiden 1,49 B",
Lidl App 2.png,lidl,12,Verse halfvolle melk,,,,0.89,EUR,0.78,"Verse halfvolle melk 0,89 B",
Lidl App 2.png,lidl,13,Gouda belegen gerasp,,,,2.39,EUR,0.78,"Gouda belegen gerasp 2,39 B",
Lidl App 2.png,lidl,14,Slagersleverworst,,,,1.49,EUR,0.78,"Slagersleverworst 1,49 B",
Lidl App 2.png,lidl,15,"Rundersaucijzen 2 x 4,99",2,stuk,4.99,9.98,EUR,0.62,"Rundersaucijzen 2 x 4,99 9,98 B",multiple_amounts_detected
Lidl App 2.png,lidl,16,Kidneybonen,,,,2.59,EUR,0.78,"Kidneybonen 2,59 B",
Lidl App 2.png,lidl,17,Snacktomaten,,,,1.79,EUR,0.78,"Snacktomaten 1,79 B",
Lidl App 2.png,lidl,18,"Komkommer 2 x 0,79",2,stuk,0.79,1.58,EUR,0.62,"Komkommer 2 x 0,79 1,58 B",multiple_amounts_detected
Lidl App 2.png,lidl,19,Duurzame basmati rijst,,,,1.69,EUR,0.78,"Duurzame basmati rijst 1,69 B",
Lidl App 2.png,lidl,20,Créme fraiche 30%,,,,0.99,EUR,0.78,"Créme fraiche 30% 0,99 B",
Lidl App 2.png,lidl,21,"Tomatenblokjes 2 x 0,58",2,stuk,0.58,1.16,EUR,0.62,"Tomatenblokjes 2 x 0,58 1,16 B",multiple_amounts_detected
Lidl App 2.png,lidl,22,Mexicaanse kruidenm,,,,0.49,EUR,0.78,"Mexicaanse kruidenm. 0,49 B",
Lidl App 2.png,lidl,23,Mexicaanse kruidenm,,,,0.49,EUR,0.78,"Mexicaanse kruidenm. 0,49 B",
Lidl App 2.png,lidl,24,"Taco saus 2 x 0,99",2,stuk,0.99,1.98,EUR,0.62,"Taco saus 2 x 0,99 1,98 B",multiple_amounts_detected
Lidl App 2.png,lidl,41,Totaal prijsvoordeel,,,,1.17,EUR,0.58,"Totaal prijsvoordeel 1,17",discount_or_loyalty_line
Lidl App 2.png,lidl,43,"B 9 31,32 2,82",,,,34.14,EUR,0.62,"B 9 31,32 2,82 34,14",multiple_amounts_detected
Lidl App 2.png,lidl,44,0742 221829/81,,,,25.11,EUR,0.78,0742 221829/81 25.11.25,
