source_file,store_hint,line_no,item_text,quantity,unit,unit_price,line_total,currency,parser_confidence,raw_line,warning
Plus foto 2.jpeg,albert_heijn,23,4 aie ch i es PUFFS PIZZA,,,,1.49,EUR,0.78,"4 aie ch i es PUFFS PIZZA 1,49 . Wag) thy f",
Plus foto 2.jpeg,albert_heijn,24,i eat int UAT WELTY VEGGIE STICKS,,,,1.29,EUR,0.78,"| i eat int UAT WELTY VEGGIE STICKS 1,29 Tal",
Plus foto 2.jpeg,albert_heijn,25,"MAURY ign 4 ye py 4+ CARROTS, APPLES +",,,,1.99,EUR,0.78,"MAURY ign 4 ye py 4+ CARROTS, APPLES + 1,99 Vey?",
Plus foto 2.jpeg,albert_heijn,26,"Mii i Ma, Yat aan APPLE PEACH HANGO",,,,1.49,EUR,0.78,"Mii i Ma, Yat aan APPLE PEACH HANGO 1,49",
Plus foto 2.jpeg,albert_heijn,28,i i ih a UMW GROENTE RINGEN +12H,,,,1.15,EUR,0.78,"i i ih a UMW GROENTE RINGEN +12H 1,15",
Plus foto 2.jpeg,albert_heijn,51,44,,,,70.08,EUR,0.78,"44 70,08 ; rtserienunner: ne 0 -",
Plus foto 2.jpeg,albert_heijn,54,64,,,,4.92,EUR,0.78,"64 4,92 ; ; 12026 11:40.",
Plus foto 2.jpeg,albert_heijn,68,"30,89 EUR ; iH 175 zegels +",,,,30.00,EUR,0.62,"30,89 EUR ; iH 175 zegels + €30,00 tegoed",multiple_amounts_detected
Plus foto 2.jpeg,albert_heijn,74,116,,,,14.08,EUR,0.78,"116 14,08 |",
Plus foto 2.jpeg,albert_heijn,80,"Lt 4,16",,,,14.08,EUR,0.62,"Lt 4,16 14,08",multiple_amounts_detected
